Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2018;Municipios;0679;Guadalix de la Sierra;7.31;
2018;Municipios;0685;Guadarrama;5.03;
2018;Municipios;0698;Hiruela (La);6.25;
2018;Municipios;0702;Horcajo de la Sierra-Aoslos;4.73;
2018;Municipios;0719;Horcajuelo de la Sierra;1.12;
2018;Municipios;0724;Hoyo de Manzanares;4.11;
2018;Municipios;0730;Humanes de Madrid;7.40;
2018;Municipios;0745;Leganés;6.49;
2018;Municipios;0758;Loeches;6.19;
2018;Municipios;0761;Lozoya;4.47;
2018;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;6.00;
2018;Municipios;0783;Madarcos;8.51;
2018;Municipios;0796;Madrid;5.57;
2018;Municipios;0800;Majadahonda;3.38;
2018;Municipios;0822;Manzanares el Real;5.85;
2018;Municipios;0838;Meco;6.09;
2018;Municipios;0843;Mejorada del Campo;7.08;
2018;Municipios;0856;Miraflores de la Sierra;7.66;
2018;Municipios;0869;Molar (El);6.29;
2018;Municipios;0875;Molinos (Los);6.05;
2018;Municipios;0881;Montejo de la Sierra;3.03;
2018;Municipios;0894;Moraleja de Enmedio;5.99;
2018;Municipios;0908;Moralzarzal;4.91;
2018;Municipios;0915;Morata de Tajuña;8.14;
2018;Municipios;0920;Móstoles;6.81;
2018;Municipios;0936;Navacerrada;3.47;
2018;Municipios;0941;Navalafuente;8.66;
2018;Municipios;0954;Navalagamella;6.88;
2018;Municipios;0967;Navalcarnero;6.74;
2018;Municipios;0973;Navarredonda y San Mamés;1.64;
2018;Municipios;0992;Navas del Rey;8.90;
2018;Municipios;1006;Nuevo Baztán;6.21;
2018;Municipios;1013;Olmeda de las Fuentes;4.62;
2018;Municipios;1028;Orusco de Tajuña;8.07;
2018;Municipios;1049;Paracuellos de Jarama;3.69;
2018;Municipios;1065;Parla;8.17;
2018;Municipios;1071;Patones;4.21;
2018;Municipios;1087;Pedrezuela;5.59;
2018;Municipios;1090;Pelayos de la Presa;11.15;
2018;Municipios;1104;Perales de Tajuña;10.21;
2018;Municipios;1111;Pezuela de las Torres;5.36;
2018;Municipios;1126;Pinilla del Valle;3.74;
2018;Municipios;1132;Pinto;6.55;
2018;Municipios;1147;Piñuécar-Gandullas;7.02;
2018;Municipios;1150;Pozuelo de Alarcón;2.82;
2018;Municipios;1163;Pozuelo del Rey;6.25;
2018;Municipios;1179;Prádena del Rincón;4.27;
