Año;Tipo territorio;Código territorio;Territorio;Rama de actividad;Valor;Estado dato
2015;Municipios;1527;Torrelodones;Agricultura y ganadería;7;
2015;Municipios;1533;Torremocha de Jarama;Agricultura y ganadería;8;
2015;Municipios;1548;Torres de la Alameda;Agricultura y ganadería;22;
2015;Municipios;9036;Tres Cantos;Agricultura y ganadería;24;
2015;Municipios;1551;Valdaracete;Agricultura y ganadería;17;
2015;Municipios;1564;Valdeavero;Agricultura y ganadería;20;
2015;Municipios;1570;Valdelaguna;Agricultura y ganadería;7;
2015;Municipios;1586;Valdemanco;Agricultura y ganadería;4;
2015;Municipios;1599;Valdemaqueda;Agricultura y ganadería;5;
2015;Municipios;1603;Valdemorillo;Agricultura y ganadería;32;
2015;Municipios;1610;Valdemoro;Agricultura y ganadería;50;
2015;Municipios;1625;Valdeolmos-Alalpardo;Agricultura y ganadería;9;
2015;Municipios;1631;Valdepiélagos;Agricultura y ganadería;5;
2015;Municipios;1646;Valdetorres de Jarama;Agricultura y ganadería;16;
2015;Municipios;1659;Valdilecha;Agricultura y ganadería;32;
2015;Municipios;1662;Valverde de Alcalá;Agricultura y ganadería;5;
2015;Municipios;1678;Velilla de San Antonio;Agricultura y ganadería;6;
2015;Municipios;1684;Vellón (El);Agricultura y ganadería;11;
2015;Municipios;1697;Venturada;Agricultura y ganadería;4;
2015;Municipios;1718;Villa del Prado;Agricultura y ganadería;201;
2015;Municipios;1701;Villaconejos;Agricultura y ganadería;120;
2015;Municipios;1723;Villalbilla;Agricultura y ganadería;4;
2015;Municipios;1739;Villamanrique de Tajo;Agricultura y ganadería;23;
2015;Municipios;1744;Villamanta;Agricultura y ganadería;52;
2015;Municipios;1757;Villamantilla;Agricultura y ganadería;5;
2015;Municipios;1760;Villanueva de la Cañada;Agricultura y ganadería;29;
2015;Municipios;1782;Villanueva de Perales;Agricultura y ganadería;6;
2015;Municipios;1776;Villanueva del Pardillo;Agricultura y ganadería;33;
2015;Municipios;1795;Villar del Olmo;Agricultura y ganadería;4;
2015;Municipios;1809;Villarejo de Salvanés;Agricultura y ganadería;61;
2015;Municipios;1816;Villaviciosa de Odón;Agricultura y ganadería;31;
2015;Municipios;1821;Villavieja del Lozoya;Agricultura y ganadería;9;
2015;Municipios;1837;Zarzalejo;Agricultura y ganadería;11;
2015;Zonas Estadísticas;03;Este Metropolitano;Agricultura y ganadería;334;
2015;Zonas Estadísticas;01;Municipio de Madrid;Agricultura y ganadería;1386;
2015;Zonas Estadísticas;07;Nordeste Comunidad;Agricultura y ganadería;170;
2015;Zonas Estadísticas;02;Norte Metropolitano;Agricultura y ganadería;371;
2015;Zonas Estadísticas;05;Oeste Metropolitano;Agricultura y ganadería;357;
2015;Zonas Estadísticas;11;Sierra Central;Agricultura y ganadería;389;
2015;Zonas Estadísticas;06;Sierra Norte;Agricultura y ganadería;434;
2015;Zonas Estadísticas;10;Sierra Sur;Agricultura y ganadería;303;
2015;Zonas Estadísticas;99;Sin Zona asignada;Agricultura y ganadería;1062;
2015;Zonas Estadísticas;08;Sudeste Comunidad;Agricultura y ganadería;849;
2015;Zonas Estadísticas;09;Sudoeste Comunidad;Agricultura y ganadería;518;
2015;Zonas Estadísticas;04;Sur Metropolitano;Agricultura y ganadería;943;
2016;Comunidad de Madrid;;Comunidad de Madrid;Agricultura y ganadería;6808;
2016;Municipios;0014;Acebeda (La);Agricultura y ganadería;3;
2016;Municipios;0029;Ajalvir;Agricultura y ganadería;13;
2016;Municipios;0035;Alameda del Valle;Agricultura y ganadería;8;
2016;Municipios;0040;Álamo (El);Agricultura y ganadería;20;
2016;Municipios;0053;Alcalá de Henares;Agricultura y ganadería;83;
2016;Municipios;0066;Alcobendas;Agricultura y ganadería;72;
2016;Municipios;0072;Alcorcón;Agricultura y ganadería;57;
2016;Municipios;0088;Aldea del Fresno;Agricultura y ganadería;30;
2016;Municipios;0091;Algete;Agricultura y ganadería;30;
2016;Municipios;0105;Alpedrete;Agricultura y ganadería;6;
2016;Municipios;0112;Ambite;Agricultura y ganadería;5;
2016;Municipios;0127;Anchuelo;Agricultura y ganadería;8;
2016;Municipios;0133;Aranjuez;Agricultura y ganadería;155;
2016;Municipios;0148;Arganda del Rey;Agricultura y ganadería;56;
2016;Municipios;0151;Arroyomolinos;Agricultura y ganadería;12;
2016;Municipios;0164;Atazar (El);Agricultura y ganadería;1;
