cod_municipio,municipio,latitud,longitud,poblacion,n_gym,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,n_restaurant,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,n_pharmacy,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,n_school,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max
468,Collado Mediano,40.69389,-4.023123,7564.0,20,2903,4.35418532552532,3.6,5.0,20,28403,4.476548251945216,3.8,4.9,20,1242,3.921980676328502,2.6,5.0,20,124,4.808870967741935,4.6,5.0,31,418,3.9681818181818183,1.0,5.0
437,Colmenar de Oreja,40.10758,-3.387693,8982.0,10,80,4.441249999999999,3.7,5.0,20,24179,4.275123040655114,3.6,4.7,7,105,4.196190476190476,3.2,5.0,14,19,4.605263157894737,4.5,5.0,21,9,4.444444444444445,3.5,5.0
421,Colmenar del Arroyo,40.41858,-4.198538,2013.0,6,141,4.740425531914894,4.6,5.0,20,5763,4.430851986812424,3.8,5.0,5,58,4.205172413793103,3.5,4.6,12,1286,4.757931570762054,4.7,5.0,23,19,4.105263157894737,1.0,5.0
442,Colmenarejo,40.56101,-4.016842,9741.0,20,2375,4.559789473684211,3.2,5.0,20,11453,4.268348904217236,3.8,4.6,20,663,4.150377073906486,2.8,5.0,20,323,4.765634674922601,4.2,5.0,30,254,3.5956692913385826,1.0,5.0
480,Corpa,40.42489,-3.262723,795.0,8,360,4.227222222222222,3.9,5.0,20,5717,4.252702466328494,3.2,5.0,7,88,4.54090909090909,3.5,5.0,9,26,4.6923076923076925,4.5,5.0,23,14,4.2214285714285715,2.7,5.0
506,Cubas de la Sagra,40.1917,-3.837347,6984.0,20,2766,4.108496023138105,2.0,5.0,20,20926,4.122942750645131,2.8,4.8,20,1130,4.5098230088495574,4.1,5.0,20,130,4.54923076923077,3.8,5.0,20,3,3.0,2.5,4.0
534,Daganzo de Arriba,40.54481,-3.457924,10673.0,20,924,4.827489177489178,3.0,5.0,20,16438,4.233179218883076,3.7,5.0,17,804,4.400995024875622,3.6,4.9,20,1418,4.901763046544429,4.8,5.0,24,11,4.281818181818182,2.5,5.0
549,Escorial (El),40.58508,-4.12952,17262.0,20,1088,4.679136029411764,4.0,5.0,20,28035,4.188514357053682,3.3,4.9,14,540,4.360185185185185,2.8,5.0,20,176,4.373295454545454,3.9,4.8,25,628,4.046178343949046,1.0,5.0
552,Estremera,40.18403,-3.106115,1451.0,3,1,3.0,3.0,3.0,8,1280,4.12109375,3.8,4.9,3,17,4.658823529411765,4.0,4.8,6,0,,,,20,14,4.285714285714286,3.0,5.0
565,Fresnedillas de la Oliva,40.48651,-4.172033,1833.0,10,193,4.689119170984456,4.0,5.0,20,6296,4.506893265565438,3.7,4.9,5,152,4.5,3.9,4.7,15,32,4.856249999999999,4.8,5.0,23,24,3.6374999999999997,3.0,5.0
571,Fresno de Torote,40.59229,-3.41205,2547.0,13,351,4.727065527065527,2.8,5.0,20,9296,4.198192771084337,3.7,4.7,8,270,4.36,3.5,4.9,20,133,4.819548872180452,3.7,5.0,25,17,4.305882352941176,2.5,5.0
590,Fuente el Saz de Jarama,40.63877,-3.51129,7384.0,20,808,4.806064356435644,3.3,5.0,20,11264,4.240891335227273,3.5,4.7,14,755,4.101324503311258,2.6,4.8,20,134,4.972388059701492,4.9,5.0,28,28,3.857142857142857,1.0,5.0
604,Fuentidueña de Tajo,40.11819,-3.159549,2319.0,2,67,4.028358208955224,3.7,4.7,7,9061,3.9886988191148878,3.4,4.3,1,32,4.3,4.3,4.3,3,46,4.4,4.4,4.4,11,8,4.5,3.0,5.0
611,Galapagar,40.57736,-4.00357,36112.0,20,2788,4.411944045911048,3.6,5.0,20,14228,4.336899072251898,3.8,4.6,20,1065,4.000657276995305,3.3,5.0,20,242,4.812809917355372,4.4,5.0,36,557,3.6008976660682226,2.5,5.0
626,Garganta de los Montes,40.92143,-3.689205,415.0,2,12,4.5,4.5,4.5,20,13844,4.3527954348454205,3.3,4.7,4,77,4.22987012987013,3.8,4.9,6,0,,,,27,12,4.591666666666667,3.7,5.0
632,Gargantilla del Lozoya y Pinilla de Buitrago,40.96463,-3.718601,401.0,0,0,,,,20,11231,4.365844537441012,3.3,5.0,4,43,4.625581395348837,4.2,4.9,8,177,4.777966101694916,4.7,5.0,27,3,4.666666666666667,4.5,5.0
647,Gascones,41.01809,-3.641817,236.0,1,0,,,,20,17323,4.077619349997114,2.8,4.7,3,53,2.8867924528301887,2.6,5.0,8,53,5.0,5.0,5.0,34,92,4.445652173913044,3.0,5.0
663,Griñón,40.21424,-3.856192,10714.0,20,1059,4.276770538243626,2.0,5.0,20,14649,4.130247798484539,2.8,4.8,20,854,4.430444964871195,3.6,5.0,20,259,4.345173745173745,3.8,5.0,23,97,2.3185567010309276,1.0,5.0
679,Guadalix de la Sierra,40.78483,-3.692719,6912.0,10,480,4.199999999999999,3.9,5.0,20,8379,4.392457333810716,3.6,5.0,9,322,4.458695652173913,4.0,4.8,16,51,4.962745098039216,4.9,5.0,24,19,4.521052631578947,3.0,5.0
685,Guadarrama,40.67348,-4.090732,17069.0,20,578,4.8306228373702425,3.0,5.0,20,27502,4.434310231983129,3.7,4.6,12,444,3.9813063063063066,2.7,5.0,20,98,4.868367346938776,4.7,5.0,28,163,4.004294478527608,1.0,5.0
698,Hiruela (La),41.0785,-3.454731,84.0,0,0,,,,8,3291,4.318930416286843,3.8,4.8,2,4,5.0,5.0,5.0,0,0,,,,3,16,4.8,4.8,4.8
702,Horcajo de la Sierra,41.06738,-3.585321,231.0,1,0,,,,18,6876,4.440721349621874,3.8,4.8,3,7,5.0,5.0,5.0,4,7,5.0,5.0,5.0,30,23,4.539130434782609,2.0,5.0
