Municipio;Tipo de dato;Periodo;Total
17022 Bisbal d'Empordà, La;Índice;2023;116,511
17023 Blanes;Índice;2023;115,760
17034 Calonge i Sant Antoni;Índice;2023;113,885
17044 Cassà de la Selva;Índice;2023;118,513
17047 Castelló d'Empúries;Índice;2023;108,583
17048 Castell d'Aro, Platja d'Aro i s'Agaró;Índice;2023;112,683
17062 Escala, L';Índice;2023;117,116
17066 Figueres;Índice;2023;115,642
17079 Girona;Índice;2023;123,513
17095 Lloret de Mar;Índice;2023;114,147
17114 Olot;Índice;2023;120,266
17117 Palafrugell;Índice;2023;117,733
17118 Palamós;Índice;2023;114,600
17147 Ripoll;Índice;2023;111,270
17152 Roses;Índice;2023;112,028
17155 Salt;Índice;2023;116,357
17160 Sant Feliu de Guíxols;Índice;2023;114,887
17180 Santa Coloma de Farners;Índice;2023;116,580
17199 Torroella de Montgrí;Índice;2023;117,839
Resto Girona;Índice;2023;115,363
18003 Albolote;Índice;2023;121,482
18017 Almuñécar;Índice;2023;110,526
18021 Armilla;Índice;2023;124,354
18022 Atarfe;Índice;2023;122,219
18023 Baza;Índice;2023;110,905
18062 Churriana de la Vega;Índice;2023;124,304
18087 Granada;Índice;2023;119,113
18089 Guadix;Índice;2023;117,870
18100 Huétor Tájar;Índice;2023;113,652
18101 Huétor Vega;Índice;2023;114,195
18102 Íllora;Índice;2023;104,002
18122 Loja;Índice;2023;119,656
18127 Maracena;Índice;2023;118,714
18140 Motril;Índice;2023;114,229
18145 Ogíjares;Índice;2023;119,999
18153 Peligros;Índice;2023;112,262
18173 Salobreña;Índice;2023;113,677
18175 Santa Fe;Índice;2023;127,423
18193 Zubia, La;Índice;2023;119,751
18905 Gabias, Las;Índice;2023;123,666
18911 Vegas del Genil;Índice;2023;114,515
Resto Granada;Índice;2023;117,321
19024 Alovera;Índice;2023;121,531
19046 Azuqueca de Henares;Índice;2023;121,895
19058 Cabanillas del Campo;Índice;2023;118,974
19071 Casar, El;Índice;2023;119,079
19130 Guadalajara;Índice;2023;121,113
Resto Guadalajara;Índice;2023;119,590
21002 Aljaraque;Índice;2023;112,020
21005 Almonte;Índice;2023;111,083
21010 Ayamonte;Índice;2023;112,838
21013 Bollullos Par del Condado;Índice;2023;111,217
21021 Cartaya;Índice;2023;116,019
21035 Gibraleón;Índice;2023;124,309
21041 Huelva;Índice;2023;118,483
21042 Isla Cristina;Índice;2023;113,926
21044 Lepe;Índice;2023;108,979
21050 Moguer;Índice;2023;103,479
21054 Palma del Condado, La;Índice;2023;125,003
21055 Palos de la Frontera;Índice;2023;100,049
21060 Punta Umbría;Índice;2023;106,266
21072 Valverde del Camino;Índice;2023;111,879
Resto Huelva;Índice;2023;112,145
22048 Barbastro;Índice;2023;119,590
22112 Fraga;Índice;2023;114,888
22125 Huesca;Índice;2023;120,594
22130 Jaca;Índice;2023;112,951
22158 Monzón;Índice;2023;113,891
Resto Huesca;Índice;2023;113,906
23002 Alcalá la Real;Índice;2023;112,100
23003 Alcaudete;Índice;2023;102,470
23005 Andújar;Índice;2023;115,091
23009 Baeza;Índice;2023;117,873
23010 Bailén;Índice;2023;103,462
23024 Carolina, La;Índice;2023;109,703
23050 Jaén;Índice;2023;113,531
23053 Jódar;Índice;2023;127,509
23055 Linares;Índice;2023;106,718
23058 Mancha Real;Índice;2023;107,853
23060 Martos;Índice;2023;112,981
23086 Torredelcampo;Índice;2023;115,293
23087 Torredonjimeno;Índice;2023;102,935
23092 Úbeda;Índice;2023;111,916
