cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max,distancia_capital,cultura,n_gym_10mil,n_restaurant_10mil,n_pharmacy_10mil,n_school_10mil,paro_total_10mil,afiliados_construcción_10mil,afiliados_agricultura_y_ganadería_10mil,afiliados_minería_industria_y_energía_10mil,afiliados_servicios_a_empresas_y_financieros_10mil,afiliados_servicios_de_distribución_y_hostelería_10mil,afiliados_otros_servicios_10mil,afiliados_total_10mil,alumnos_total_10mil
164,Atazar (El),40.93333,-3.466667,900.2352,107.0,0,0,0.0,0.0,0.0,2035,4.321081081081081,4.1,4.4,0,0.0,0.0,0.0,0,4.735690085449596,4.735690085449596,4.735690085449596,23,25,4.712,4.0,5.0,84.846,0.0,0.0,560.7476635514018,0.0,0.0,934.5794392523364,467.2897196261682,0.0,1028.03738317757,747.6635514018691,654.2056074766355,1121.4953271028037,4018.6915887850464,0.0
170,Batres,40.21029,-3.922307,603.6849,1957.0,0,807,4.4169764560099125,3.9,5.0,14245,4.235500175500176,2.8,4.8,642,4.333956386292835,3.5,5.0,198,4.702525252525253,4.6,5.0,22,20,4.05,3.0,5.0,37.802,2.0,102.19724067450178,102.19724067450178,76.64793050587635,102.19724067450178,419.0086867654573,265.71282575370464,0.0,265.71282575370464,832.9075114971896,950.4343382728666,1083.290751149719,3398.0582524271845,602.9637199795606
186,Becerril de la Sierra,40.71638,-3.989412,1086.586,6553.0,0,2045,4.385916870415648,4.2,5.0,19826,4.435186119237365,3.7,4.9,619,3.743780290791599,2.6,5.0,64,4.8078125,4.6,5.0,28,355,4.0600000000000005,2.3,5.0,50.448,0.0,30.52037234854265,30.52037234854265,25.942316496261252,30.52037234854265,499.0080878986724,375.4005798870746,18.312223409125593,219.7466809095071,1086.5252556081184,1175.034335418892,1200.9766519151533,4075.9957271478715,1941.0956813673129
199,Belmonte de Tajo,40.13364,-3.339654,732.0183,1919.0,0,215,4.586976744186047,3.7,5.0,14356,4.2910420730008365,3.6,5.0,164,4.377439024390244,3.2,5.0,37,4.797297297297297,4.5,5.0,22,6,4.166666666666667,3.5,4.5,57.499,0.0,67.74361646690986,104.22094841063054,52.11047420531527,104.22094841063054,562.7931214174049,422.09484106305365,57.32152162584679,682.64721208963,672.225117248567,922.3553934340803,990.0990099009902,3746.743095362168,1907.2433559145388
210,Berrueco (El),40.88814,-3.561255,937.1234,828.0,0,279,4.250896057347671,4.0,5.0,23612,4.154700999491784,3.8,5.0,87,3.717241379310345,3.6,4.2,0,4.735690085449596,4.735690085449596,4.735690085449596,26,18,4.611111111111111,3.0,5.0,66.347,1.0,84.54106280193236,241.54589371980677,36.231884057971016,96.6183574879227,471.0144927536232,386.4734299516908,24.154589371980673,132.8502415458937,434.7826086956522,809.1787439613527,1086.9565217391305,2874.3961352657007,144.92753623188406
203,Berzosa del Lozoya,40.97594,-3.525082,1079.826,234.0,0,0,0.0,0.0,0.0,2553,4.376694085389738,4.2,4.6,15,0.0,0.0,0.0,0,4.735690085449596,4.735690085449596,4.735690085449596,25,14,4.6571428571428575,4.0,5.0,82.228,0.0,0.0,384.61538461538464,42.73504273504274,0.0,128.2051282051282,299.14529914529913,0.0,213.67521367521368,427.35042735042737,256.4102564102564,1196.5811965811965,2393.162393162393,0.0
231,Boalo (El),40.71746,-3.920084,953.0439,8548.0,0,2107,4.417892738490745,4.0,5.0,15125,4.391312396694215,4.1,4.9,409,3.615403422982885,2.6,5.0,102,4.813725490196078,3.7,5.0,26,53,3.749056603773585,1.0,5.0,55.387,1.0,23.39728591483388,23.39728591483388,12.868507253158633,23.39728591483388,424.66073935423486,340.4305100608329,33.92606457650913,238.65231633130554,1130.0889096864764,1029.4805802526907,1331.3055685540478,4103.883949461862,4597.566682264857
246,Braojos,41.04005,-3.643112,1189.477,219.0,0,0,4.429228629815559,4.429228629815559,4.429228629815559,13919,4.006947338170845,2.8,4.7,53,2.8867924528301887,2.6,5.0,53,5.0,5.0,5.0,32,61,4.442622950819672,3.0,5.0,83.276,0.0,45.662100456621005,913.2420091324201,136.986301369863,410.958904109589,319.634703196347,502.283105022831,273.972602739726,319.634703196347,547.945205479452,958.904109589041,2100.456621004566,4703.196347031963,0.0
259,Brea de Tajo,40.23012,-3.109499,722.8417,567.0,0,1,3.0,3.0,3.0,1012,4.1471343873517785,3.8,4.9,17,4.658823529411765,4.0,4.8,0,4.735690085449596,4.735690085449596,4.735690085449596,15,3,4.666666666666667,4.5,5.0,65.168,1.0,52.910052910052904,141.09347442680775,52.910052910052904,123.45679012345678,599.647266313933,264.55026455026456,158.73015873015873,299.8236331569665,582.010582010582,564.373897707231,1481.4814814814813,3350.970017636684,246.91358024691357
262,Brunete,40.40554,-3.997736,654.7903,11263.0,0,1373,4.4255644573925705,3.6,5.0,12210,4.251056511056511,3.1,4.6,4088,4.070132093933464,3.0,5.0,1131,4.696109637488948,4.2,5.0,25,19,4.257894736842106,2.5,5.0,38.308,1.0,17.757258279321672,17.757258279321672,15.093669537423422,17.757258279321672,352.48157684453525,330.28500399538314,21.308709935186005,197.99342981443664,1167.5397318654,1225.2508212731955,1523.5727603657995,4465.950457249401,4039.7762585456803
