"";"Serie";"...2";"...3";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"57";"Municipios";"0474";"Collado Villalba";80303468200;80963213200;85896481300;90176387400;95436082000;95187615900;100287647800;109518354400;1182540492
"58";"Municipios";"0455";"Colmenar Viejo";75043100000;77164665300;81035676000;87030142200;93566020800;95681441900;102765352000;111709349100;1243137307
"59";"Municipios";"0437";"Colmenar de Oreja";7414040400;7459763200;8193828600;8671866000;9283536600;9574305300;10432368000;11456454600;126604350
"60";"Municipios";"0421";"Colmenar del Arroyo";2105268000;2108263500;2232448000;2393846700;2566715000;2784503400;3013410400;3228877600;36517194
"61";"Municipios";"0442";"Colmenarejo";12526708500;12679307500;13338417600;14002443000;15008438800;15230244400;16585332800;18052701600;194792604
"62";"Municipios";"0480";"Corpa";808556000;863125200;826910000;900189600;917197800;926337600;1056250400;1152846800;12518070
"63";"Municipios";"0493";"Coslada";109340199000;108830030000;116111349900;120548503800;125814776800;124799635200;129990270300;137877587100;1469405028
"64";"Municipios";"0506";"Cubas de la Sagra";7180220000;7465342000;7813411200;8423281600;9282334200;9435258000;10381706400;11354354400;125969388
"65";"Municipios";"0534";"Daganzo de Arriba";15501364200;15918993000;16522439700;17362144800;18739304000;19052597200;20456112600;21814955900;237762421
"66";"Municipios";"0549";"Escorial (El)";23830337700;24232609800;25960034400;27346285200;28683593200;29520850000;31156839000;33646036200;368875548
"67";"Municipios";"0552";"Estremera";1085588400;1033065900;1206462600;1274317000;1371121400;1477626700;1554840000;1776605100;19141548
"68";"Municipios";"0565";"Fresnedillas de la Oliva";1465410400;1586427300;1630376000;1748262200;1948320000;2119988400;2282596600;2431888200;27192555
"69";"Municipios";"0571";"Fresno de Torote";2745237000;2746132800;2962600200;3166046000;3424502200;3610121700;3831823800;4234570800;46737450
"70";"Municipios";"0587";"Fuenlabrada";210393121400;212969011000;225821401800;235991490000;250060186000;250013570400;261239241600;279128025000;3004605558
