cod_municipio,municipio,latitud,longitud,poblacion,g_supermercados_count,g_supermercados_reviews,g_supermercados_rating_wavg,g_conveniencia_count,g_conveniencia_reviews,g_conveniencia_rating_wavg,g_farmacias_count,g_farmacias_reviews,g_farmacias_rating_wavg,g_bancos_count,g_bancos_reviews,g_bancos_rating_wavg,g_cajeros_count,g_cajeros_reviews,g_cajeros_rating_wavg,g_gasolineras_count,g_gasolineras_reviews,g_gasolineras_rating_wavg,g_hospitales_clinicas_count,g_hospitales_clinicas_reviews,g_hospitales_clinicas_rating_wavg,g_medicos_familia_count,g_medicos_familia_reviews,g_medicos_familia_rating_wavg,g_escuelas_infantiles_count,g_escuelas_infantiles_reviews,g_escuelas_infantiles_rating_wavg,g_colegios_institutos_count,g_colegios_institutos_reviews,g_colegios_institutos_rating_wavg,g_universidad_fp_count,g_universidad_fp_reviews,g_universidad_fp_rating_wavg,g_paradas_bus_count,g_paradas_bus_reviews,g_paradas_bus_rating_wavg,g_estaciones_principales_count,g_estaciones_principales_reviews,g_estaciones_principales_rating_wavg,g_aparcamientos_count,g_aparcamientos_reviews,g_aparcamientos_rating_wavg,g_restaurantes_count,g_restaurantes_reviews,g_restaurantes_rating_wavg,g_cafeterias_count,g_cafeterias_reviews,g_cafeterias_rating_wavg,g_bares_count,g_bares_reviews,g_bares_rating_wavg,g_cines_count,g_cines_reviews,g_cines_rating_wavg,g_gimnasios_count,g_gimnasios_reviews,g_gimnasios_rating_wavg,g_parques_count,g_parques_reviews,g_parques_rating_wavg,g_centros_comerciales_count,g_centros_comerciales_reviews,g_centros_comerciales_rating_wavg,g_comisarias_count,g_comisarias_reviews,g_comisarias_rating_wavg,g_bomberos_count,g_bomberos_reviews,g_bomberos_rating_wavg,g_ayuntamientos_count,g_ayuntamientos_reviews,g_ayuntamientos_rating_wavg,g_juzgados_count,g_juzgados_reviews,g_juzgados_rating_wavg,aq_aqi,aq_co_value,aq_no2_value,aq_o3_value,aq_pm10_value,aq_pm25_value,aq_so2_value
357,Carabaña,40.25669,-3.234641,2375.0,2,227,4.0,0,0,,2,18,4.906,0,0,,0,0,,0,0,,20,1961,4.513,0,0,,20,1961,4.513,3,0,,20,1961,4.513,20,1961,4.513,15,8,4.612,5,2,3.0,5,2411,4.523,0,0,,9,476,4.371,0,0,,0,0,,9,139,4.374,0,0,,1,2,5.0,0,0,,0,0,,20,1961,4.513,73,262.98,7.13,34.34,16.41,16.41,1.91
360,Casarrubuelos,40.17114,-3.833068,4225.0,6,1985,4.15,2,8,4.212,7,278,4.578,2,20,4.37,2,0,,4,361,3.688,20,2795,4.269,7,363,3.91,20,2795,4.269,14,52,4.804,20,2795,4.269,20,2795,4.269,20,13,1.923,19,49,2.898,20,17987,4.171,7,958,4.223,12,5803,4.264,1,0,,6,410,4.93,16,279,4.05,3,22,4.0,1,0,,0,0,,2,226,3.749,20,2795,4.269,72,386.8,9.34,15.65,31.48,17.38,0.82
376,Cenicientos,40.26463,-4.464909,2141.0,4,43,4.251,2,1,5.0,1,4,2.0,3,2,2.5,3,0,,3,44,3.95,20,567,4.494,0,0,,20,567,4.494,2,0,,20,567,4.494,20,567,4.494,8,9,3.667,0,0,,11,1865,4.351,2,292,4.466,10,1138,4.425,0,0,,0,0,,8,4,5.0,0,0,,1,0,,1,0,,1,48,4.2,20,567,4.494,75,88.17,3.14,31.56,10.82,8.41,2.74
382,Cercedilla,40.74145,-4.054667,7646.0,4,989,3.946,2,597,3.998,3,94,4.42,3,50,3.606,3,36,4.114,2,203,4.246,20,4650,4.442,4,57,5.0,20,4650,4.442,10,15,4.4,20,4650,4.442,20,4650,4.442,21,207,4.014,5,105,3.995,20,15196,4.381,10,2060,4.565,18,9213,4.405,0,0,,3,90,4.498,20,942,4.487,0,0,,2,2,5.0,0,0,,1,392,3.6,20,4650,4.442,59,486.37,4.98,23.04,25.2,25.2,1.45
395,Cervera de Buitrago,40.92196,-3.53016,161.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,1485,4.189,0,0,,20,1485,4.189,0,0,,20,1485,4.189,20,1485,4.189,10,3,5.0,1,0,,1,746,4.4,0,0,,1,746,4.4,0,0,,0,0,,6,401,3.955,0,0,,0,0,,0,0,,1,7,4.9,20,1485,4.189,74,267.76,1.71,33.57,4.91,4.27,0.78
513,Chapinería,40.37918,-4.20943,2634.0,1,78,4.5,0,0,,1,22,4.6,2,15,2.5,3,4,3.025,0,0,,20,1122,4.563,0,0,,20,1122,4.563,6,724,4.722,20,1122,4.563,21,1125,4.564,2,5,3.4,1,5,4.2,8,2193,4.574,2,257,4.659,3,604,4.712,2,16,5.0,2,81,4.785,8,90,4.744,0,0,,0,0,,0,0,,1,33,3.2,20,1122,4.563,80,170.22,6.66,23.98,12.42,12.41,2.39
528,Chinchón,40.14019,-3.415684,5820.0,2,634,3.877,4,477,3.691,2,36,4.2,3,15,2.3,3,12,2.3,1,303,4.3,21,11751,4.341,2,8,3.0,20,11746,4.341,5,4,5.0,20,11746,4.341,20,11746,4.341,12,11,4.191,16,367,4.018,20,23583,4.257,4,2368,4.233,20,8680,4.169,0,0,,3,59,4.358,11,457,3.949,1,42,3.9,2,8,2.4,0,0,,0,0,,20,11746,4.341,71,315.44,9.66,11.03,27.39,17.91,1.9
409,Ciempozuelos,40.15934,-3.6184,26046.0,9,3486,4.025,4,358,3.946,8,365,4.194,10,152,2.032,11,114,2.096,8,1015,4.108,23,2806,4.056,11,203,4.624,20,2796,4.057,14,322,4.804,21,2804,4.058,20,2796,4.057,21,112,2.834,13,112,4.725,20,8523,4.117,10,1431,4.387,20,6589,4.239,0,0,,10,313,4.51,14,920,3.97,0,0,,2,8,3.4,0,0,,1,361,3.4,20,2796,4.057,75,344.19,6.02,3.73,25.21,15.81,1.51
416,Cobeña,40.56733,-3.504839,7742.0,6,1156,4.062,2,266,4.25,2,136,4.635,3,70,2.853,4,47,2.802,4,487,4.246,21,1178,4.125,4,114,3.726,20,1133,4.122,6,16,4.675,20,1133,4.122,20,1133,4.122,16,10,3.9,0,0,,9,8524,4.268,3,277,4.265,11,1444,4.084,0,0,,3,181,4.803,16,865,4.354,1,6,3.3,1,0,,0,0,,1,236,4.1,20,1133,4.122,80,456.67,8.85,24.95,17.8,8.72,2.4
468,Collado Mediano,40.69389,-4.023123,7564.0,5,604,3.802,2,361,3.823,3,86,4.336,3,28,2.7,2,14,3.3,2,290,3.915,21,1849,4.313,1,0,,20,1790,4.392,8,53,4.983,20,1790,4.392,20,1790,4.392,20,44,4.102,3,35,4.671,15,7112,4.512,6,547,4.362,10,1526,4.424,0,0,,3,130,4.929,20,334,4.249,0,0,,1,0,,0,0,,1,220,3.7,20,1790,4.392,56,484.84,8.12,8.28,28.5,28.5,1.51
