cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,farmacias_10mil,latitud_google_places,longitud_google_places,poblacion_google_places,n_gym,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,n_restaurant,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,n_pharmacy,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,n_school,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max,Año,Tipo territorio,Código territorio,Territorio,paro_total,Estado dato,Año_paro_por100,Tipo territorio_paro_por100,Código territorio_paro_por100,Territorio_paro_por100,paro_100,Estado dato_paro_por100,Año_distancia,Tipo territorio_distancia,Código territorio_distancia,Territorio_distancia,distancia_capital,Estado dato_distancia,afiliados_agricultura_y_ganadería,afiliados_construcción,afiliados_minería_industria_y_energía,afiliados_otros_servicios,afiliados_servicios_a_empresas_y_financieros,afiliados_servicios_de_distribución_y_hostelería,afiliados_total,alumnos_total,cultura,IPVA
284,Bustarviejo,40.85811,-3.70969,1217.359,2833.0,0,4,40.85811,-3.70969,2833.0,5,187,4.475935828877005,4.3,5.0,20,13256,4.3673053711526855,4.1,4.9,6,150,4.127999999999999,3.6,4.4,12,452,4.9,4.9,4.9,22,19,4.042105263157895,1.0,5.0,2025,Municipios,284.0,Bustarviejo,146,,2024,Municipios,284.0,Bustarviejo,5.23,,2016,Municipios,284,Bustarviejo,64.721,,14,75,91,428,236,233,1077,486,1.0,
297,Cabanillas de la Sierra,40.81968,-3.626066,921.8676,949.0,0,11,40.81968,-3.626066,949.0,12,973,4.4622816032887975,3.9,5.0,20,16271,4.101155429905967,3.8,4.9,8,178,4.06123595505618,3.6,4.4,13,22,4.913636363636364,4.9,5.0,28,30,3.770000000000001,1.0,5.0,2025,Municipios,297.0,Cabanillas de la Sierra,29,,2024,Municipios,297.0,Cabanillas de la Sierra,4.14,,2016,Municipios,297,Cabanillas de la Sierra,55.486,,4,27,26,123,85,103,368,418,0.0,
301,Cabrera (La),40.86399,-3.615572,1040.395,2952.0,3,3,40.86399,-3.615572,2952.0,9,287,4.2717770034843205,4.0,5.0,20,17278,4.144762125245978,3.8,4.8,8,178,4.037640449438202,3.6,4.4,11,0,,,,26,17,4.352941176470588,1.0,5.0,2025,Municipios,301.0,Cabrera (La),153,,2024,Municipios,301.0,Cabrera (La),5.2,,2016,Municipios,301,Cabrera (La),60.42,,10,105,65,390,223,379,1172,2358,1.0,
318,Cadalso de los Vidrios,40.30094,-4.443737,799.9886,3274.0,3,3,40.30094,-4.443737,3274.0,1,2,1.0,1.0,1.0,20,5393,4.207417022065641,3.9,5.0,2,16,2.975,2.0,3.3,9,0,,,,22,6,4.183333333333334,3.0,5.0,2025,Municipios,318.0,Cadalso de los Vidrios,220,,2024,Municipios,318.0,Cadalso de los Vidrios,7.59,,2016,Municipios,318,Cadalso de los Vidrios,89.965,,36,176,79,414,171,220,1096,880,4.0,
323,Camarma de Esteruelas,40.54861,-3.377597,639.19,8107.0,0,2,40.54861,-3.377597,8107.0,20,6657,4.208998047168395,3.1,5.0,20,27626,3.909621371172084,3.5,4.6,20,1356,4.050811209439528,3.2,4.8,20,1595,4.837742946708464,3.7,5.0,27,659,3.474810318664644,2.2,5.0,2025,Municipios,323.0,Camarma de Esteruelas,447,,2024,Municipios,323.0,Camarma de Esteruelas,5.26,,2016,Municipios,323,Camarma de Esteruelas,37.479,,5,238,468,745,684,1122,3262,3404,1.0,
339,Campo Real,40.33815,-3.380982,765.6791,6766.0,1,3,40.33815,-3.380982,6766.0,20,3417,4.296429616622769,3.5,5.0,20,6933,4.237617193134285,3.4,4.6,20,767,4.42425032594524,1.0,5.0,20,154,4.123376623376624,3.2,5.0,26,166,3.5210843373493974,1.0,5.0,2025,Municipios,339.0,Campo Real,332,,2024,Municipios,339.0,Campo Real,5.72,,2016,Municipios,339,Campo Real,34.635,,12,223,560,570,589,936,2890,1662,1.0,
344,Canencia,40.90981,-3.737718,1142.31,468.0,0,21,40.90981,-3.737718,468.0,1,0,,,,20,10489,4.309676804271141,3.3,4.7,4,61,4.273770491803279,3.6,4.9,7,131,4.7,4.7,4.7,23,14,4.378571428571428,3.7,4.6,2025,Municipios,344.0,Canencia,24,,2024,Municipios,344.0,Canencia,5.12,,2016,Municipios,344,Canencia,82.184,,16,14,9,42,22,38,141,0,0.0,
357,Carabaña,40.25669,-3.234641,612.9524,2375.0,0,4,40.25669,-3.234641,2375.0,1,0,,,,15,7243,4.4059643794008,2.5,5.0,5,47,4.785106382978723,4.7,5.0,9,0,,,,21,11,4.354545454545455,3.0,5.0,2025,Municipios,357.0,Carabaña,127,,2024,Municipios,357.0,Carabaña,6.12,,2016,Municipios,357,Carabaña,53.449,,8,99,99,260,159,250,875,412,0.0,
360,Casarrubuelos,40.17114,-3.833068,624.7643,4225.0,0,5,40.17114,-3.833068,4225.0,20,1667,4.714937012597481,3.7,5.0,20,22152,4.2045232936078,2.8,4.8,20,1049,4.50838894184938,3.9,5.0,20,131,4.558778625954199,3.8,5.0,23,67,3.0865671641791046,1.0,4.2,2025,Municipios,360.0,Casarrubuelos,202,,2024,Municipios,360.0,Casarrubuelos,4.54,,2016,Municipios,360,Casarrubuelos,33.936,,5,150,187,427,336,514,1619,852,0.0,
376,Cenicientos,40.26463,-4.464909,778.7822,2141.0,0,5,40.26463,-4.464909,2141.0,1,2,1.0,1.0,1.0,20,4452,4.318553459119496,3.8,4.8,2,16,2.975,2.0,3.3,8,0,,,,22,11,3.5454545454545454,2.8,5.0,2025,Municipios,376.0,Cenicientos,168,,2024,Municipios,376.0,Cenicientos,7.54,,2016,Municipios,376,Cenicientos,95.124,,31,82,33,245,93,187,671,454,1.0,
